,Date,State/UnionTerritory,Deaths,Confirmed,StatePopulation,DaysCovariate
365,2020-03-26,Andaman and Nicobar Islands,0.0,2.6275615440602658,380581,0.334
392,2020-03-27,Andaman and Nicobar Islands,0.0,2.6275615440602658,380581,0.668
420,2020-03-28,Andaman and Nicobar Islands,0.0,15.765369264361594,380581,1.002
447,2020-03-29,Andaman and Nicobar Islands,0.0,23.648053896542393,380581,1.336
474,2020-03-30,Andaman and Nicobar Islands,0.0,23.648053896542393,380581,1.6700000000000002
502,2020-03-31,Andaman and Nicobar Islands,0.0,26.275615440602657,380581,2.004
530,2020-04-01,Andaman and Nicobar Islands,0.0,26.275615440602657,380581,2.338
559,2020-04-02,Andaman and Nicobar Islands,0.0,26.275615440602657,380581,2.672
121,2020-03-12,Andhra Pradesh,0.0,0.02017060173927468,49577103,0.0
134,2020-03-13,Andhra Pradesh,0.0,0.02017060173927468,49577103,0.0
147,2020-03-14,Andhra Pradesh,0.0,0.02017060173927468,49577103,0.0
148,2020-03-15,Andhra Pradesh,0.0,0.02017060173927468,49577103,0.0
162,2020-03-16,Andhra Pradesh,0.0,0.02017060173927468,49577103,0.0
177,2020-03-17,Andhra Pradesh,0.0,0.02017060173927468,49577103,0.0
192,2020-03-18,Andhra Pradesh,0.0,0.02017060173927468,49577103,0.0
209,2020-03-19,Andhra Pradesh,0.0,0.04034120347854936,49577103,0.0
228,2020-03-20,Andhra Pradesh,0.0,0.06051180521782404,49577103,0.0
248,2020-03-21,Andhra Pradesh,0.0,0.06051180521782404,49577103,0.0
270,2020-03-22,Andhra Pradesh,0.0,0.10085300869637341,49577103,0.0
293,2020-03-23,Andhra Pradesh,0.0,0.14119421217492278,49577103,0.0
316,2020-03-24,Andhra Pradesh,0.0,0.16136481391419744,49577103,0.0
340,2020-03-25,Andhra Pradesh,0.0,0.18153541565347212,49577103,0.0
366,2020-03-26,Andhra Pradesh,0.0,0.22187661913202147,49577103,0.0
393,2020-03-27,Andhra Pradesh,0.0,0.24204722087129615,49577103,0.0
419,2020-03-28,Andhra Pradesh,0.0,0.28238842434984557,49577103,0.0
446,2020-03-29,Andhra Pradesh,0.0,0.38324143304621894,49577103,0.0
473,2020-03-30,Andhra Pradesh,0.0,0.46392384000331766,49577103,0.0
501,2020-03-31,Andhra Pradesh,0.0,0.8068240695709873,49577103,0.334
529,2020-04-01,Andhra Pradesh,0.0,1.6741599443597985,49577103,0.668
558,2020-04-02,Andhra Pradesh,0.02017060173927468,1.7346717495776225,49577103,1.002
531,2020-04-01,Assam,0.0,0.03204555493543846,31205576,0.0
560,2020-04-02,Assam,0.0,0.1602277746771923,31205576,0.0
271,2020-03-22,Bihar,0.009606198503331219,0.019212397006662437,104099452,0.0
294,2020-03-23,Bihar,0.009606198503331219,0.019212397006662437,104099452,0.0
317,2020-03-24,Bihar,0.009606198503331219,0.028818595509993654,104099452,0.0
341,2020-03-25,Bihar,0.009606198503331219,0.038424794013324874,104099452,0.0
367,2020-03-26,Bihar,0.009606198503331219,0.05763719101998731,104099452,0.0
394,2020-03-27,Bihar,0.009606198503331219,0.05763719101998731,104099452,0.0
421,2020-03-28,Bihar,0.009606198503331219,0.08645578652998097,104099452,0.0
448,2020-03-29,Bihar,0.009606198503331219,0.10566818353664341,104099452,0.0
475,2020-03-30,Bihar,0.009606198503331219,0.14409297754996828,104099452,0.0
503,2020-03-31,Bihar,0.009606198503331219,0.14409297754996828,104099452,0.0
532,2020-04-01,Bihar,0.009606198503331219,0.22094256557661804,104099452,0.0
561,2020-04-02,Bihar,0.009606198503331219,0.23054876407994923,104099452,0.0
222,2020-03-19,Chandigarh,0.0,0.9474631673693685,1055450,1.0
242,2020-03-20,Chandigarh,0.0,0.9474631673693685,1055450,2.0
264,2020-03-21,Chandigarh,0.0,0.9474631673693685,1055450,3.0
287,2020-03-22,Chandigarh,0.0,4.737315836846843,1055450,4.0
